nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
ARAPEÍ,3503158,SP,7,42,0,0
ARAPIRACA,2700300,AL,12,76,0,0
ARAPOEMA,1702307,TO,5,45,0,0
ARAPONGA,3103702,MG,3,46,0,0
ARAPONGAS,4101507,PR,13,61,0,0
ARAPORÃ,3103751,MG,4,46,0,0
ARAPOTI,4101606,PR,4,45,0,0
ARAPUTANGA,5101258,MT,6,41,0,0
ARAPUÁ,3103801,MG,4,47,0,0
ARAPUÃ,4101655,PR,5,45,0,0
ARAQUARI,4201307,SC,5,53,0,0
ARARA,2500908,PB,11,42,0,0
ARARANGUÁ,4201406,SC,2,74,0,0
ARARAQUARA,3503208,SP,17,75,0,0
ARARAS,3503307,SP,11,55,0,0
ARARENDÁ,2301257,CE,10,41,0,0
ARARI,2101004,MA,6,53,0,0
ARARICÁ,4300877,RS,11,38,0,0
ARARIPE,2301307,CE,11,49,0,0
ARARIPINA,2601102,PE,8,64,0,0
ARARUAMA,3300209,RJ,11,71,0,0
ARARUNA,2501005,PB,9,52,0,0
ARARUNA,4101705,PR,5,46,0,0
ARATACA,2902252,BA,8,44,0,0
ARATIBA,4300901,RS,7,45,0,0
ARATUBA,2301406,CE,9,44,0,0
ARATUÍPE,2902302,BA,2,47,0,0
ARAUCÁRIA,4101804,PR,7,57,0,0
ARAUÁ,2800407,SE,8,45,0,0
ARAXÁ,3104007,MG,9,63,0,0
ARAÇAGI,2500809,PB,12,48,0,0
ARAÇARIGUAMA,3502754,SP,5,48,0,0
ARAÇATUBA,3502804,SP,12,66,0,0
ARAÇAÍ,3103207,MG,9,40,0,0
ARAÇOIABA,2601052,PE,6,45,0,0
ARAÇOIABA DA SERRA,3502903,SP,17,30,0,0
ARAÇU,5201603,GO,10,41,0,0
ARAÇUAÍ,3103405,MG,5,56,0,0
ARAÇÁS,2902054,BA,8,42,0,0
ARAÚJOS,3103900,MG,2,48,0,0
ARCEBURGO,3104106,MG,5,46,0,0
ARCO-ÍRIS,3503356,SP,7,43,0,0
ARCOS,3104205,MG,5,57,0,0
ARCOVERDE,2601201,PE,15,38,0,0
AREADO,3104304,MG,14,35,0,0
AREAL,3300225,RJ,6,40,0,0
AREALVA,3503406,SP,8,46,0,0
AREIA,2501104,PB,16,44,0,0
AREIA BRANCA,2401107,RN,5,54,0,0
AREIA BRANCA,2800506,SE,9,48,0,0
AREIA DE BARAÚNAS,2501153,PB,5,47,0,0
AREIAL,2501203,PB,9,44,1,0
AREIAS,3503505,SP,1,49,0,0
AREIÓPOLIS,3503604,SP,2,49,0,0
ARENÁPOLIS,5101308,MT,5,44,0,0
ARENÓPOLIS,5202353,GO,4,46,0,0
ARGIRITA,3104403,MG,7,43,0,0
ARICANDUVA,3104452,MG,2,50,0,0
ARINOS,3104502,MG,1,50,0,0
ARIPUANÃ,5101407,MT,4,51,0,0
ARIQUEMES,1100023,RO,6,61,0,0
ARIRANHA,3503703,SP,5,49,0,0
ARIRANHA DO IVAÍ,4101853,PR,1,51,0,0
ARMAZÉM,4201505,SC,5,46,0,0
ARMAÇÃO DOS BÚZIOS,3300233,RJ,3,44,0,0
ARNEIROZ,2301505,CE,8,44,0,0
AROAZES,2200905,PI,3,48,0,0
AROEIRAS,2501302,PB,1,61,0,0
AROEIRAS DO ITAIM,2200954,PI,8,35,0,0
ARRAIAL,2201002,PI,9,43,0,0
ARRAIAL DO CABO,3300258,RJ,5,44,0,0
ARRAIAS,1702406,TO,4,46,0,0
ARROIO DO MEIO,4301008,RS,9,48,0,0
ARROIO DO PADRE,4301073,RS,10,40,0,0
ARROIO DO SAL,4301057,RS,5,44,0,0
ARROIO DO TIGRE,4301206,RS,11,39,0,0
ARROIO DOS RATOS,4301107,RS,15,34,0,0
ARROIO GRANDE,4301305,RS,3,51,0,0
ARROIO TRINTA,4201604,SC,11,41,0,0
ARTUR NOGUEIRA,3503802,SP,6,53,0,0
ARUANÃ,5202502,GO,7,43,0,0
ARUJÁ,3503901,SP,10,64,0,0
ARVOREDO,4201653,SC,11,41,0,0
ARVOREZINHA,4301404,RS,7,45,0,0
ARÊS,2401206,RN,10,42,0,0
ASCURRA,4201703,SC,4,46,0,0
ASPÁSIA,3503950,SP,9,43,0,0
ASSARÉ,2301604,CE,5,52,0,0
ASSAÍ,4101903,PR,8,40,0,0
ASSIS,3504008,SP,4,70,0,0
ASSIS BRASIL,1200054,AC,13,38,0,0
ASSIS CHATEAUBRIAND,4102000,PR,12,55,0,0
ASSUNÇÃO,2501351,PB,7,45,0,0
ASSUNÇÃO DO PIAUÍ,2201051,PI,10,43,0,0
ASSÚ,2400208,RN,13,61,0,0
ASTOLFO DUTRA,3104601,MG,4,45,0,0
ASTORGA,4102109,PR,10,46,0,0
ATALAIA,2700409,AL,17,53,0,0
ATALAIA,4102208,PR,3,49,0,0
ATALAIA DO NORTE,1300201,AM,7,47,0,0
ATALANTA,4201802,SC,5,47,0,0
ATALÉIA,3104700,MG,2,49,0,0
ATIBAIA,3504107,SP,5,66,0,0
ATÍLIO VIVÁCQUA,3200706,ES,7,42,0,0
AUGUSTINÓPOLIS,1702554,TO,5,51,0,0
AUGUSTO CORRÊA,1500909,PA,7,55,0,0
AUGUSTO DE LIMA,3104809,MG,8,44,0,0
AUGUSTO PESTANA,4301503,RS,8,44,0,0
AURELINO LEAL,2902401,BA,7,41,0,0
AURIFLAMA,3504206,SP,5,47,0,0
AURILÂNDIA,5202601,GO,6,46,0,0
AURORA,2301703,CE,12,53,0,0
AURORA,4201901,SC,3,49,0,0
AURORA DO PARÁ,1500958,PA,6,45,0,0
AURORA DO TOCANTINS,1702703,TO,10,41,0,1
AUTAZES,1300300,AM,14,45,0,0
AVANHANDAVA,3504404,SP,6,44,0,0
AVARÉ,3504503,SP,13,53,0,0
AVAÍ,3504305,SP,8,44,0,0
AVEIRO,1501006,PA,8,40,0,1
AVELINO LOPES,2201101,PI,4,47,0,0
AVELINÓPOLIS,5202809,GO,8,43,0,0
AXIXÁ,2101103,MA,9,40,0,0
